index,pid,agg_cluster,x,y,cluster_7,conversation_id,construct,construct_bipolar,survey_id,survey_name,survey_endTime,pole_a,pole_b
0,01903166-988A-4E13-B883-878582894D29,21,4.7684383,4.328492,6,01903166-988A-4E13-B883-878582894D29,Traditional,Innovative,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.452052+00:00,Traditional,Innovative
0,01903166-988A-4E13-B883-878582894D29,21,4.7684383,4.328492,6,01903166-988A-4E13-B883-878582894D29,Richness,Lightness,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.452052+00:00,Richness,Lightness
0,01903166-988A-4E13-B883-878582894D29,21,4.7684383,4.328492,6,01903166-988A-4E13-B883-878582894D29,Complexity,Simplicity,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.452052+00:00,Complexity,Simplicity
1,01903166-988A-4E13-B883-878582894D29,25,1.4595591,2.9183085,4,01903166-988A-4E13-B883-878582894D29,Traditional,Innovative,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.452052+00:00,Traditional,Innovative
1,01903166-988A-4E13-B883-878582894D29,25,1.4595591,2.9183085,4,01903166-988A-4E13-B883-878582894D29,Richness,Lightness,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.452052+00:00,Richness,Lightness
1,01903166-988A-4E13-B883-878582894D29,25,1.4595591,2.9183085,4,01903166-988A-4E13-B883-878582894D29,Complexity,Simplicity,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.452052+00:00,Complexity,Simplicity
2,01903166-988A-4E13-B883-878582894D29,11,4.424643,1.7227093,2,01903166-988A-4E13-B883-878582894D29,Traditional,Innovative,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.452052+00:00,Traditional,Innovative
2,01903166-988A-4E13-B883-878582894D29,11,4.424643,1.7227093,2,01903166-988A-4E13-B883-878582894D29,Richness,Lightness,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.452052+00:00,Richness,Lightness
2,01903166-988A-4E13-B883-878582894D29,11,4.424643,1.7227093,2,01903166-988A-4E13-B883-878582894D29,Complexity,Simplicity,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.452052+00:00,Complexity,Simplicity
3,03B6ECB2-36BC-49E1-A613-1172B1DE959C,50,6.05252,5.876074,1,03B6ECB2-36BC-49E1-A613-1172B1DE959C,Quick & Simple,Time-Intensive & Complex,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.213593+00:00,Quick & Simple,Time-Intensive & Complex
3,03B6ECB2-36BC-49E1-A613-1172B1DE959C,50,6.05252,5.876074,1,03B6ECB2-36BC-49E1-A613-1172B1DE959C,Traditional,Innovative,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.213593+00:00,Traditional,Innovative
3,03B6ECB2-36BC-49E1-A613-1172B1DE959C,50,6.05252,5.876074,1,03B6ECB2-36BC-49E1-A613-1172B1DE959C,Complex,Simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.213593+00:00,Complex,Simple
4,03B6ECB2-36BC-49E1-A613-1172B1DE959C,17,4.319103,1.6646335,2,03B6ECB2-36BC-49E1-A613-1172B1DE959C,Quick & Simple,Time-Intensive & Complex,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.213593+00:00,Quick & Simple,Time-Intensive & Complex
4,03B6ECB2-36BC-49E1-A613-1172B1DE959C,17,4.319103,1.6646335,2,03B6ECB2-36BC-49E1-A613-1172B1DE959C,Traditional,Innovative,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.213593+00:00,Traditional,Innovative
4,03B6ECB2-36BC-49E1-A613-1172B1DE959C,17,4.319103,1.6646335,2,03B6ECB2-36BC-49E1-A613-1172B1DE959C,Complex,Simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.213593+00:00,Complex,Simple
5,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,499,3.1868002,5.1116934,4,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Instant soups,Instant food,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Instant soups,Instant food
5,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,499,3.1868002,5.1116934,4,0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Acras of cod,Quick to prepare,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00,Acras of cod,Quick to prepare
