Row_ID,User_ID,Survey_ID,Survey_Name,Pole_A,Pole_B,Cluster,Coordinate_X,Coordinate_Y,Conversation_Index,Bipolar_Construct,Cluster_Size
1,41A8F4D4-4131-4E1D-BD5C-256BF8E2030D,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,Meat-based dish,Vegetable-based dish,0,8.071927,6.827217,80,Meat-based dish vs Vegetable-based dish,1130
2,41A8F4D4-4131-4E1D-BD5C-256BF8E2030D,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,Rice-based dish,Grain-free dish,0,8.071927,6.827217,80,Rice-based dish vs Grain-free dish,1130
3,41A8F4D4-4131-4E1D-BD5C-256BF8E2030D,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,Bread,not Bread,0,8.071927,6.827217,80,Bread vs not Bread,1130
4,41A8F4D4-4131-4E1D-BD5C-256BF8E2030D,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,Quick meal,Complex meal,0,8.071927,6.827217,80,Quick meal vs Complex meal,1130
5,693A1666-0756-42D5-AF00-2A6228AF49C9,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Taamya,Stands out because of its special ingredients,0,8.0905905,6.444064,141,Taamya vs Stands out because of its special ingredients,1130
6,693A1666-0756-42D5-AF00-2A6228AF49C9,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Fish,Unique due to its preparation methods,0,8.0905905,6.444064,141,Fish vs Unique due to its preparation methods,1130
7,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Shape Cookies,not Shape Cookies,0,8.2342205,6.9110985,328,Shape Cookies vs not Shape Cookies,1130
8,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Blend in Dry Ingredients,not Blend in Dry Ingredients,0,8.2342205,6.9110985,328,Blend in Dry Ingredients vs not Blend in Dry Ingredients,1130
9,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Add Egg and Vanilla,not Add Egg and Vanilla,0,8.2342205,6.9110985,328,Add Egg and Vanilla vs not Add Egg and Vanilla,1130
10,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Cream Butter and Sugar,not Cream Butter and Sugar,0,8.2342205,6.9110985,328,Cream Butter and Sugar vs not Cream Butter and Sugar,1130
11,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Mix Dry Ingredients,not Mix Dry Ingredients,0,8.2342205,6.9110985,328,Mix Dry Ingredients vs not Mix Dry Ingredients,1130
12,EB1AB441-CD0F-4815-8DF0-0C191871C9DB,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,Preheat the Oven,not Preheat the Oven,0,8.2342205,6.9110985,328,Preheat the Oven vs not Preheat the Oven,1130
