conversation_id,construct,construct_bipolar,survey_id,survey_name,survey_endTime
01903166-988A-4E13-B883-878582894D29,Traditional,Innovative,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.452052+00:00
01903166-988A-4E13-B883-878582894D29,Richness,Lightness,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.452052+00:00
01903166-988A-4E13-B883-878582894D29,Complexity,Simplicity,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.452052+00:00
03369D18-1E80-4CD3-9DBB-91D82F689F0E,Hearty,Light,a216d763-71dd-4509-a694-d68cb28de496,Praise,2025-01-08 07:37:13.098354+00:00
03369D18-1E80-4CD3-9DBB-91D82F689F0E,Sweet,Plain,a216d763-71dd-4509-a694-d68cb28de496,Praise,2025-01-08 07:37:13.098354+00:00
03369D18-1E80-4CD3-9DBB-91D82F689F0E,Bold,Subtle,a216d763-71dd-4509-a694-d68cb28de496,Praise,2025-01-08 07:37:13.098354+00:00
03369D18-1E80-4CD3-9DBB-91D82F689F0E,Spicy,Subtle,a216d763-71dd-4509-a694-d68cb28de496,Praise,2025-01-08 07:37:13.098354+00:00
03376FA5-7711-48B5-B71A-106700991639,Peanut Butter Energy Balls,Chocolate Banana Ice,a216d763-71dd-4509-a694-d68cb28de496,Praise,2025-01-08 07:37:15.513685+00:00
03376FA5-7711-48B5-B71A-106700991639,Simple Lemon Herb Chicken,Barbeque Chicken Quesadilla,a216d763-71dd-4509-a694-d68cb28de496,Praise,2025-01-08 07:37:15.513685+00:00
03376FA5-7711-48B5-B71A-106700991639,Avocado Toast,Garlic Butter Shrimp,a216d763-71dd-4509-a694-d68cb28de496,Praise,2025-01-08 07:37:15.513685+00:00
03B6ECB2-36BC-49E1-A613-1172B1DE959C,Quick & Simple,Time-Intensive & Complex,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.213593+00:00
03B6ECB2-36BC-49E1-A613-1172B1DE959C,Traditional,Innovative,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.213593+00:00
03B6ECB2-36BC-49E1-A613-1172B1DE959C,Complex,Simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.213593+00:00
0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Instant soups,Instant food,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00
0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Acras of cod,Quick to prepare,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00
0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Butter cream cake,Sweet and comforting,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00
0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Sashimi,Minimalist,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00
0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Saka Saka,Time-consuming,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00
0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Steak haché with fries,Everyday simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00
0593215E-742F-4484-B1D9-DF0E6E8FAD2F,Colombo chicken,Culturally rich,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.761367+00:00
059EA257-30EF-453F-9A53-4F25241E937F,Pizza Carbonara,not Pizza Carbonara,a216d763-71dd-4509-a694-d68cb28de496,Praise,2025-01-08 07:37:16.475248+00:00
075931A9-C64F-4B04-9CEC-5626B0DC58D6,Apple Pie,not Apple Pie,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,2025-01-08 07:37:10.859652+00:00
075931A9-C64F-4B04-9CEC-5626B0DC58D6,Australian Zucchini Slice,not Australian Zucchini Slice,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,2025-01-08 07:37:10.859652+00:00
075931A9-C64F-4B04-9CEC-5626B0DC58D6,Chicken Tajine,not Chicken Tajine,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,2025-01-08 07:37:10.859652+00:00
075931A9-C64F-4B04-9CEC-5626B0DC58D6,Spanish Paella,not Spanish Paella,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,2025-01-08 07:37:10.859652+00:00
075931A9-C64F-4B04-9CEC-5626B0DC58D6,Cheesecake,not Cheesecake,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,2025-01-08 07:37:10.859652+00:00
075931A9-C64F-4B04-9CEC-5626B0DC58D6,Tiramisu,not Tiramisu,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,2025-01-08 07:37:10.859652+00:00
075931A9-C64F-4B04-9CEC-5626B0DC58D6,Moroccan Couscous,not Moroccan Couscous,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,2025-01-08 07:37:10.859652+00:00
075931A9-C64F-4B04-9CEC-5626B0DC58D6,Italian Pasta,not Italian Pasta,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,2025-01-08 07:37:10.859652+00:00
07C98AA6-1CB5-4C5E-8C7B-B9A65F619FF9,Cultural heritage,Cultural loss,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:19.269287+00:00
07C98AA6-1CB5-4C5E-8C7B-B9A65F619FF9,Flavor complexity,Blandness,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:19.269287+00:00
07C98AA6-1CB5-4C5E-8C7B-B9A65F619FF9,Preparation style,Simplicity,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:19.269287+00:00
07C98AA6-1CB5-4C5E-8C7B-B9A65F619FF9,Popularity,Commonness,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:19.269287+00:00
07C98AA6-1CB5-4C5E-8C7B-B9A65F619FF9,Cultural significance,Unimportance,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:19.269287+00:00
07FE48D2-F1EE-421B-A5FF-80A83B30B124,Healthy,Less Healthy,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:21.943070+00:00
07FE48D2-F1EE-421B-A5FF-80A83B30B124,Long-lasting,Short-lived,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:21.943070+00:00
07FE48D2-F1EE-421B-A5FF-80A83B30B124,Cheap,Expensive,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:21.943070+00:00
0825F956-71A0-407A-A84C-41CFB219A506,not Baked Salmon,not rich,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.309299+00:00
0825F956-71A0-407A-A84C-41CFB219A506,Baked Salmon,rich,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:18.309299+00:00
089073E1-81C0-4EED-A1A5-98DDA14A1703,Fried,Not Fried (Soto),710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:20.330712+00:00
089073E1-81C0-4EED-A1A5-98DDA14A1703,Plate,Bowl,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:20.330712+00:00
089073E1-81C0-4EED-A1A5-98DDA14A1703,Fried,Grilled,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:20.330712+00:00
089073E1-81C0-4EED-A1A5-98DDA14A1703,Fried,Stewed,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:20.330712+00:00
089073E1-81C0-4EED-A1A5-98DDA14A1703,Bowl,Plate,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:20.330712+00:00
089073E1-81C0-4EED-A1A5-98DDA14A1703,Fried,Not Fried,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:20.330712+00:00
09A9BB8E-B9A3-4663-A11D-697F9882BA10,Complexity,Simplicity,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,
09A9BB8E-B9A3-4663-A11D-697F9882BA10,Additional,Subsidiary Dish,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,
09A9BB8E-B9A3-4663-A11D-697F9882BA10,Vegetarian,Non-Vegetarian,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,
09A9BB8E-B9A3-4663-A11D-697F9882BA10,Raw,Cooked,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,
09A9BB8E-B9A3-4663-A11D-697F9882BA10,Main Course,Subsidiary Dish,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,
0A025D76-321B-41EC-B58B-D3617531646D,Hearty,Delicate,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,
0A025D76-321B-41EC-B58B-D3617531646D,Flavorful,Bland,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,
0A025D76-321B-41EC-B58B-D3617531646D,Complex,Simple,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,
0A1D73D3-5517-44E6-AD30-08B0C6EE8125,rico en sabor,simple,a216d763-71dd-4509-a694-d68cb28de496,Praise,2025-01-08 07:37:15.348976+00:00
0A1D73D3-5517-44E6-AD30-08B0C6EE8125,intenso,sutil,a216d763-71dd-4509-a694-d68cb28de496,Praise,2025-01-08 07:37:15.348976+00:00
0A1D73D3-5517-44E6-AD30-08B0C6EE8125,intenso,suave,a216d763-71dd-4509-a694-d68cb28de496,Praise,2025-01-08 07:37:15.348976+00:00
0A1D73D3-5517-44E6-AD30-08B0C6EE8125,laborioso,sencillo,a216d763-71dd-4509-a694-d68cb28de496,Praise,2025-01-08 07:37:15.348976+00:00
0A40F903-81FE-49E5-BB5F-D3761445D6DE,French toast,not French toast,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:19.752772+00:00
0A40F903-81FE-49E5-BB5F-D3761445D6DE,Passion fruit mousse,not Passion fruit mousse,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:19.752772+00:00
0A40F903-81FE-49E5-BB5F-D3761445D6DE,Pudding,not Pudding,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,2025-01-08 07:37:19.752772+00:00
0A4CD8B6-0AC4-451E-BCDB-645A952146E4,Biryani,not Biryani,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,2025-01-08 07:37:10.802815+00:00
0A4CD8B6-0AC4-451E-BCDB-645A952146E4,Salad,not Salad,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,2025-01-08 07:37:10.802815+00:00
0A4CD8B6-0AC4-451E-BCDB-645A952146E4,Fried Chicken,not Fried Chicken,edf4c10a-22fb-41a7-ae08-ff14a665a4cb,Positive,2025-01-08 07:37:10.802815+00:00
0B0110B3-5C07-449D-94EB-9D51DF8059A6,Meat-based,Vegetarian,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,
0B0110B3-5C07-449D-94EB-9D51DF8059A6,Snack/Dessert,Savory Dish,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,
0B0110B3-5C07-449D-94EB-9D51DF8059A6,Breakfast,Lunch/Dinner,710e2dc7-120e-4cc6-a35a-849df7fa4f66,Neutural,
0C8F0DBD-E231-45D7-9644-ED758EE82757,Time-Intensive,Quick Preparation,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00
0C8F0DBD-E231-45D7-9644-ED758EE82757,Everyday,Special Occasion,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00
0C8F0DBD-E231-45D7-9644-ED758EE82757,Savory,Sweet,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00
0C8F0DBD-E231-45D7-9644-ED758EE82757,Hearty,Refreshing,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00
0C8F0DBD-E231-45D7-9644-ED758EE82757,Indulgent,Light,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00
0C8F0DBD-E231-45D7-9644-ED758EE82757,Complex,Simple,b2b8d8e1-3557-4355-853e-3fb64b7cb6c5,Construct Elaboration,2025-01-08 07:37:17.696858+00:00
0D7C5F97-9F5F-4A9A-A0C1-7F049D473CCD,Lemon,not Lemon,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.284524+00:00
0D7C5F97-9F5F-4A9A-A0C1-7F049D473CCD,Apple,not Apple,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.284524+00:00
